"Aplicativo","DataHora","Data","Usuario","Descricao","StatusProducao","CriterioConfirmacao","EnviadoProducaoEm","EnviadoProducaoPor","VersaoListada","VersaoMinimaBanco","FonteBeta","FonteProducao"
"APP_MIGRACAO_FIREBIRD4.ZIP","10/09/2026 09:37:19","10/09/2026","1190","- Reestruturação da ferramenta visando alertar sobre erros no processo.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"ATUALIZA.ZIP","03/09/2026 17:15:29","03/09/2026","1077","Adicionado validação para aceitar atualizar apenas Firebird 4 em diante.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"ATUALIZA.ZIP","03/09/2026 17:29:29","03/09/2026","1077","Adicionado validação para aceitar atualizar apenas Firebird 4 em diante.","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","03/09/2026 17:29:44","FRANCISCO SCHWARZ MORAES","03/09/2026 17:29:46","180","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
"ATUALIZAPAC.ZIP","17/08/2026 13:51:44","17/08/2026","1077","Criado validação: Caso AtualizaPac rode na estação antes irá ver se o menu.exe esta em execução em algum usuário do PC para nos casos de TS ficar claro ao usuário o motivo de não prosseguir","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","17/08/2026 13:51:57","FRANCISCO SCHWARZ MORAES","17/08/2026 13:51:54","N/A","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
"DBIMP.ZIP","27/08/2026 14:09:33","27/08/2026","2152","Ajuste para normalizar texto das colunas","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"ECF_WS.ZIP","10/08/2026 18:19:10","10/08/2026","32","2178 - F1  para listar finalizadoras no F8 quando estiver no campo do Codigo Finalizadora | Tela do F8 nao fica mais invisivel, permanece visivel ate final das operacoes","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"ECF_WS.ZIP","18/08/2026 13:42:01","18/08/2026","32","Ajustado para interpretar MSG de alerta da danfe simplificada | Adicionado no menu Finalizadoras a opcao abertura de Caixa, necessita da wgfechacx.dll | Obs:Atualizar menu.zip e ecf_ws.zip e rodar menu senha em ambos","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"ECF_WS.ZIP","24/08/2026 10:09:59","24/08/2026","32","Ajustado para considerar MEI no PDO | Quando PDO e e OFF-Line estava considrando On-Line | Tipo Documento | 55=Danfe | 65=NFCe | 0=PDO, não estava considerando","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"ECF_WS.ZIP","28/08/2026 19:51:57","28/08/2026","32","RN — Alterarado o critério de busca de produtos no F2 do PDV | Ajustado Problema na Emissão de Cupom - Regime MEI para PDO | Ajustado Problema na Emissão de NFC-e com Entrega a Domicílio. rejeição 787 da SEFAZ: | Ajustado Problema no Fluxo de Vendas no PDV (Convênio/Cresce Vendas)","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"ECF_WS.ZIP","01/09/2026 16:12:45","01/09/2026","32","Colocado Default = 1 para o tipo de Impressao | Removido a opção E-Mail | Removido uma Mensagem de Rastreio que havia ficado. Mostrava S ou N","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"ECF_WS.ZIP","04/09/2026 19:12:38","04/09/2026","32","Ajustado BUG no F7 Origem_lcto estava tratando como Inteiro e deveria ser como String","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"ECF_WS.ZIP","09/09/2026 19:30:33","09/09/2026","32","2178 - Configuração da Opção Padrão no “Questiona Tipo Impressão” foi Ajustado | 39 - Guilhotina dos Comprovantes TEF/Convênio no PDO foi Ajustado","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"ECF_WS.ZIP","14/09/2026 13:31:21","14/09/2026","32","Ajustado para quando nao tiver um default de tipo de impressão, assumir 1 = Imprimir","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","14/09/2026 14:07:17","FRANCISCO SCHWARZ MORAES","14/09/2026 13:31:10","227","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
"MENU.ZIP","03/08/2026 19:39:02","03/08/2026","32","Feito seguranca na emissao de danfe para situacao pendente | 184 - Relatorio Atendidos por Faixa de Horario adicionar danfe simplificada | 184 - Relatorio Markup por Data adicionar danfe simplificada","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
