"Aplicativo","DataHora","Data","Usuario","Descricao","Fonte","StatusProducao"
"APP_MIGRACAO_FIREBIRD4.ZIP","10/09/2026 09:37:19","10/09/2026","1190","- Reestruturação da ferramenta visando alertar sobre erros no processo.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"ATUALIZA.ZIP","03/09/2026 17:15:29","03/09/2026","1077","Adicionado validação para aceitar atualizar apenas Firebird 4 em diante.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"ATUALIZA.ZIP","03/09/2026 17:29:29","03/09/2026","1077","Adicionado validação para aceitar atualizar apenas Firebird 4 em diante.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"ATUALIZAPAC.ZIP","17/08/2026 13:51:44","17/08/2026","1077","Criado validação: Caso AtualizaPac rode na estação antes irá ver se o menu.exe esta em execução em algum usuário do PC para nos casos de TS ficar claro ao usuário o motivo de não prosseguir","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"DBIMP.ZIP","27/08/2026 14:09:33","27/08/2026","2152","Ajuste para normalizar texto das colunas","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"ECF_WS.ZIP","10/08/2026 18:19:10","10/08/2026","32","2178 - F1  para listar finalizadoras no F8 quando estiver no campo do Codigo Finalizadora | Tela do F8 nao fica mais invisivel, permanece visivel ate final das operacoes","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"ECF_WS.ZIP","18/08/2026 13:42:01","18/08/2026","32","Ajustado para interpretar MSG de alerta da danfe simplificada | Adicionado no menu Finalizadoras a opcao abertura de Caixa, necessita da wgfechacx.dll | Obs:Atualizar menu.zip e ecf_ws.zip e rodar menu senha em ambos","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"ECF_WS.ZIP","24/08/2026 10:09:59","24/08/2026","32","Ajustado para considerar MEI no PDO | Quando PDO e e OFF-Line estava considrando On-Line | Tipo Documento | 55=Danfe | 65=NFCe | 0=PDO, não estava considerando","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"ECF_WS.ZIP","28/08/2026 19:51:57","28/08/2026","32","RN — Alterarado o critério de busca de produtos no F2 do PDV | Ajustado Problema na Emissão de Cupom - Regime MEI para PDO | Ajustado Problema na Emissão de NFC-e com Entrega a Domicílio. rejeição 787 da SEFAZ: | Ajustado Problema no Fluxo de Vendas no PDV (Convênio/Cresce Vendas)","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"ECF_WS.ZIP","01/09/2026 16:12:45","01/09/2026","32","Colocado Default = 1 para o tipo de Impressao | Removido a opção E-Mail | Removido uma Mensagem de Rastreio que havia ficado. Mostrava S ou N","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"ECF_WS.ZIP","04/09/2026 19:12:38","04/09/2026","32","Ajustado BUG no F7 Origem_lcto estava tratando como Inteiro e deveria ser como String","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"ECF_WS.ZIP","09/09/2026 19:30:33","09/09/2026","32","2178 - Configuração da Opção Padrão no “Questiona Tipo Impressão” foi Ajustado | 39 - Guilhotina dos Comprovantes TEF/Convênio no PDO foi Ajustado","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"ECF_WS.ZIP","14/09/2026 13:31:21","14/09/2026","32","Ajustado para quando nao tiver um default de tipo de impressão, assumir 1 = Imprimir","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"MENU.ZIP","03/08/2026 19:39:02","03/08/2026","32","Feito seguranca na emissao de danfe para situacao pendente | 184 - Relatorio Atendidos por Faixa de Horario adicionar danfe simplificada | 184 - Relatorio Markup por Data adicionar danfe simplificada","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"MENU.ZIP","07/08/2026 00:04:28","07/08/2026","32","Perdia Conexao com BD quando enviava E-Mail nos relatorios antigos","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"MENU.ZIP","10/08/2026 18:21:02","10/08/2026","32","Incluido submenu para Precificação Avançada e Simples","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"MENU.ZIP","13/08/2026 18:38:57","13/08/2026","32","107 - Ajuste nos relatorios CR antigo.  Pagtos Atrasados, adicionado vlr multa + vlr_correcco + vlr_acrescimo + Juros na coluna acrescimos","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"MENU.ZIP","18/08/2026 13:39:03","18/08/2026","32","184 - Relatorio Markup por Data adicionar danfe simplificada, ajustado para somar os 2 numa unica linha | Ajustado no Manutencao PDV  a opçao Abertura de Caixa no PDV. | Atualizar menu.zip e ecf_ws.zip","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"MENU.ZIP","28/08/2026 19:55:54","28/08/2026","32","Na EMISSÃO DE NOTA FISCAL]Validação correta da soma de faturas criadas manualmente na emissão da NF-e, passado de float para currency | Ajustado Problema no Cadastro de Produtos, quando fizer insert default do CST sera branco agora | Ajustado Tratamento de exceção de banco de dados (EXC_ESTOQUE_INSUFICIENTE) na inclusão de item sem estoque em Pedidos de Saída | Ajustado Memorizar Layout de Grade (Robô do XML)","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"MENU.ZIP","01/09/2026 15:18:30","01/09/2026","32","Ajustadoo Relatório (Markup por Data) | Refeito Bloqueio de campos fiscais com Weber Tributário habilitado | Alterarado mensagem de except do Banco de Dados na Entrada de Notas | Ajustado Correção na chamada das Formulações de Estoque | Implementado chamada da entrada de notas em Y no Retaguarda(rodar menu senhaa)","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"MENU.ZIP","10/09/2026 18:33:20","10/09/2026","32","Adicionado UUID na tabela EST_MENSAL_APONTA no Apontamento Automático Estoque Negativo","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"PROMIS.ZIP","28/08/2026 19:52:53","28/08/2026","32","Ajustado Problema no Fluxo de Lançamentos do Contas a Receber (Promis)","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"SCANTECH.ZIP","27/08/2026 16:55:20","27/08/2026","1190","- Recompilação do Projeto visando atualizar Utilitarios.cs","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"SERVIDOR.ZIP","03/08/2026 19:40:51","03/08/2026","32","* - Implementada danfe simplificada para poder ficar pendente caso ocorra erro de comuinicacao com se-faz | * - Adicionado upd_220 entrada em Y | * - Adicionado a Mensagem quando item faz faz parte da lei complementar ""Operação sujeita ao disposto na LC n° 224 de 2025""","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"SERVIDOR.ZIP","05/08/2026 18:29:47","05/08/2026","32","Ajustes no XML para danfe simplificada | tpimp = 6 | Removido tag data e hora saida | Removido tag PISST","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"SERVIDOR.ZIP","06/08/2026 12:03:03","06/08/2026","32","Retornado para tpimp=3 para danfe simplificada e adicionada a tag PISST + dthr saida","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"SERVIDOR.ZIP","10/08/2026 18:16:28","10/08/2026","32","Ajustado para venda NFCe e DanfeSimplificada no PDV a gravacao na tabela PV_ATEND  para o pre-venda | Adicionado Upd_221","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"SERVIDOR.ZIP","12/08/2026 14:03:33","12/08/2026","32","Adicionado UPDs_222,223,224,225","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"SERVIDOR.ZIP","13/08/2026 13:53:14","13/08/2026","32","Adicionado UPD_226  com correção de juros/multa no ServerNFe","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"SERVIDOR.ZIP","14/08/2026 11:37:09","14/08/2026","32","Retirado excecao no sequencia.ib qdo atingir o limite de alter Table","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"SERVIDOR.ZIP","18/08/2026 13:35:39","18/08/2026","32","adicionado upd_227 | ajustado para danfe simplificada, para quando cStat 120  Autorizado o uso da NF-e com Alerta, Retorna Msg de Alerta. | Obs: Atualizar ecf_ws.zip e servidor.zip","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"SERVIDOR.ZIP","18/08/2026 14:38:31","18/08/2026","32","Recompilado pacote. ajustado erro no upd_227","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"SERVIDOR.ZIP","19/08/2026 14:45:21","19/08/2026","32","2174 -  No PDV quando consultava o X-MAPA o ServerNFE não estava considerando a Hora.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"SERVIDOR.ZIP","26/08/2026 19:00:20","26/08/2026","32","Adicionado o UPD_228","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"SERVIDOR.ZIP","31/08/2026 10:54:26","31/08/2026","32","Adicionado UPD_229 referente notificacao do comunica PDV","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"SERVIDOR.ZIP","02/09/2026 17:14:00","02/09/2026","32","Adicionado os UPDs  230 ate 291 referente estoque novo","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"SERVIDOR.ZIP","08/09/2026 13:36:53","08/09/2026","32","Ajustado API da listagem do fechamneto Mapa","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"SERVIDOR.ZIP","09/09/2026 17:38:24","09/09/2026","32","Adicionado UPD_292, Correcao de lentidao, Cria Indices","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"SERVIDOR.ZIP","10/09/2026 18:31:09","10/09/2026","32","Atualizado e substituido os upds 234,249,250","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WDLLNFE.ZIP","03/08/2026 19:46:47","03/08/2026","32","Adicionado a Mensagem quando item faz faz parte da lei complementar ""Operação sujeita ao disposto na LC n° 224 de 2025""  na  tag InfAdic.infAdFisco","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WDLLNFE.ZIP","07/08/2026 00:02:49","07/08/2026","32","Dependendo da situacao perdia conexao com BD quando usava e-mail","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WDLLNFE.ZIP","10/09/2026 16:52:22","10/09/2026","32","Ajustado Bug onde colocava como optante do simples para regime Normal","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGALERTAS.ZIP","26/08/2026 10:34:04","26/08/2026","1077","Recompilado devido a desativação da gravação de log em LOG_FORM.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGALERTAS.ZIP","26/08/2026 10:34:43","26/08/2026","1077","Recompilado devido a desativação da gravação de log em LOG_FORM.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGCOMPRAS.ZIP","27/08/2026 17:22:30","27/08/2026","1190","- Ajustes e correções conforme demandas via PlannerX. | - Inclusao de novas funcionalidades e recursos | - Recompilação do Projeto visando atualizar Utilitarios.cs","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGCRESCEVENDAS.ZIP","27/08/2026 16:50:20","27/08/2026","1190","- Recompilação do Projeto visando atualizar Utilitarios.cs","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGESTOQUE.ZIP","03/08/2026 10:37:15","03/08/2026","1077","Adicionado metodo GravaOrdemProducaoJsonTransacional na DLL para uso na Entrada de Notas em Y.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGESTOQUE.ZIP","04/08/2026 17:16:36","04/08/2026","1077","Ajustado componentes de tradução, demanda 408 insideops","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGESTOQUE.ZIP","20/08/2026 14:24:09","20/08/2026","1190","- Correção de layout e lógica no form de itens da Formula de Desmontagem. | - Ajustes pontuais na lógica do Estoque Novo","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGESTOQUE.ZIP","27/08/2026 15:55:13","27/08/2026","1190","- Correções no controle de Lotes e exibição de dados. | - Ajustes de layout e validações em pontos do projeto | - Recompilação do Projeto visando atualizar Utilitarios.cs","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGESTOQUE.ZIP","03/09/2026 11:57:35","03/09/2026","1190","- Ajuste no argumento da chamada via Menu","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGESTOQUE.ZIP","03/09/2026 15:19:04","03/09/2026","1190","- Remoção de mensagens de rastreio","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGESTOQUE.ZIP","08/09/2026 10:35:37","08/09/2026","1190","- Correção em comportamento ao editar Etapas de Ordem de Produção","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGFECHACX.ZIP","27/08/2026 17:45:45","27/08/2026","1190","Primeiro upload - Projeto base","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGFINANC.ZIP","04/08/2026 08:19:01","04/08/2026","1077","- Adicionado opção de configurar meio de pagamento e espécie de documento padrão por fornecedor na entrada de notas.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGFINANC.ZIP","12/08/2026 11:54:58","12/08/2026","1077","Ajuste na inclusão multipla CP/CR. | No modo FIXO, agora o dia é limitado ao último dia do mês. Assim, com vencimento-base em 30/08 e intervalo 30, a parcela de fevereiro será 28/02 (ou 29/02 em ano bissexto), sem exceção. | A regra foi aplicada tanto para CP quanto para CR.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGFINANC.ZIP","13/08/2026 08:39:07","13/08/2026","1077","Corrigido ordem de tabulação na inclusão múltipla.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGFINANC.ZIP","21/08/2026 13:58:39","21/08/2026","1077","Correção nos botões de configuração do layout DRE","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGFINANC.ZIP","26/08/2026 10:05:10","26/08/2026","1077","Recompilado devido a desativação da gravação de log em LOG_FORM.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGFINANC.ZIP","27/08/2026 10:34:37","27/08/2026","1077","- Removido a opção ""Cadastros"" de utilitarios/configs e colocado como primeira opção da barra superior do menu do módulo. | - Adicionado opção de abrir Cadastro de carteiras | - Adicionado opção de abrir Cadastro de clientes/fornecedores | -- Ambos as opções acima validam a permissão de Ferramentas > Configura Menu.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGHELPS.ZIP","26/08/2026 10:52:34","26/08/2026","1077","Recompilado devido a desativação da gravação de log em LOG_FORM.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGLCTONOTA.ZIP","03/08/2026 15:57:08","03/08/2026","1077","A sugestão de CFOP da entrada manual foi ajustada: | UF do fornecedor igual à UF da loja: 5102 | UF diferente: 6102 | ----- | Ajustado para todos os pontos onde seja possível preencher manualmente o campo Documento da fatura limitar a 30 caracteres, tamanho do banco de dados, evitando Overflow. | ----- | Ajustado ordenação da revisão de faturas na entrada assistida e manual. | ---- | Melhorada a busca e associação de produtos:GTIN correspondente não força mais 100% de similaridade. | Descrição passou a representar 98% da similaridade. | UNM e NCM acrescentam 1% cada quando compatíveis. | Divergências de UNM/NCM continuam reduzindo a pontuação. | Incluídos alertas para divergências de descrição, peso/apresentação, unidade, NCM e fornecedor. | Adicionado ícone de sucesso na coluna Critério quando o GTIN corresponde. | ----- | Redesenhada a tela de associação de produtos para resolução mínima de 1000×600 px, com melhor distribuição dos dados e da grade. | ----- | Implementado o bloqueio de valores negativos. | Entrada Manual: frete, seguro, despesas e desconto são rejeitados ao incluir o item; a regra também foi reforçada no cálculo e na validação final. | Auditoria: incluídas validações para custo de compra e todos os campos de ICMS ST. | Salvamento central: valida todas as propriedades decimais dos itens antes de persistir, cobrindo campos preenchidos indiretamente. | ----- | CFOP e CST agora são validados contra os registros ativos de TAB_CFOP e TAB_CST na entrada manual, tanto ao adicionar o item quanto antes de gravar a nota. | Incluídos botões F4 e atalho F4 para pesquisar CFOP e CST na entrada manual. | O CST digitado passou a ser preservado; não é mais substituído silenciosamente pelo CST do produto na entrada manual. | ---- | Analise > Variações preço compra: | Ajustado: o botão agora abre o cadastro com o código do produto da linha selecionada. Sem seleção, exibe um aviso e não abre o cadastro vazio.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
