"Aplicativo","DataAlteracao","Descricao","StatusCruzamento","VersaoProducaoListada","EnviadoProducaoEm","EnviadoProducaoPor","FonteProducao","Regra"
"APP_MIGRACAO_FIREBIRD4.ZIP","10/09/2026 09:37:19","- Reestruturação da ferramenta visando alertar sobre erros no processo.","Beta sem tag de producao localizada","","","","","Aplicativo presente na fonte beta, mas sem tag de producao confirmada nas fontes analisadas"
"ATUALIZA.ZIP","03/09/2026 17:15:29","Adicionado validação para aceitar atualizar apenas Firebird 4 em diante.","Somado na versao em producao","03/09/2026 17:29:46","03/09/2026 17:29:44","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"ATUALIZA.ZIP","03/09/2026 17:29:29","Adicionado validação para aceitar atualizar apenas Firebird 4 em diante.","Somado na versao em producao","03/09/2026 17:29:46","03/09/2026 17:29:44","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"ATUALIZAPAC.ZIP","17/08/2026 13:51:44","Criado validação: Caso AtualizaPac rode na estação antes irá ver se o menu.exe esta em execução em algum usuário do PC para nos casos de TS ficar claro ao usuário o motivo de não prosseguir","Somado na versao em producao","17/08/2026 13:51:54","17/08/2026 13:51:57","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"DBIMP.ZIP","27/08/2026 14:09:33","Ajuste para normalizar texto das colunas","Beta sem tag de producao localizada","","","","","Aplicativo presente na fonte beta, mas sem tag de producao confirmada nas fontes analisadas"
"ECF_WS.ZIP","10/08/2026 18:19:10","2178 - F1  para listar finalizadoras no F8 quando estiver no campo do Codigo Finalizadora | Tela do F8 nao fica mais invisivel, permanece visivel ate final das operacoes","Somado na versao em producao","14/09/2026 13:31:10","14/09/2026 14:07:17","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"ECF_WS.ZIP","18/08/2026 13:42:01","Ajustado para interpretar MSG de alerta da danfe simplificada | Adicionado no menu Finalizadoras a opcao abertura de Caixa, necessita da wgfechacx.dll | Obs:Atualizar menu.zip e ecf_ws.zip e rodar menu senha em ambos","Somado na versao em producao","14/09/2026 13:31:10","14/09/2026 14:07:17","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"ECF_WS.ZIP","24/08/2026 10:09:59","Ajustado para considerar MEI no PDO | Quando PDO e e OFF-Line estava considrando On-Line | Tipo Documento | 55=Danfe | 65=NFCe | 0=PDO, não estava considerando","Somado na versao em producao","14/09/2026 13:31:10","14/09/2026 14:07:17","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"ECF_WS.ZIP","28/08/2026 19:51:57","RN — Alterarado o critério de busca de produtos no F2 do PDV | Ajustado Problema na Emissão de Cupom - Regime MEI para PDO | Ajustado Problema na Emissão de NFC-e com Entrega a Domicílio. rejeição 787 da SEFAZ: | Ajustado Problema no Fluxo de Vendas no PDV (Convênio/Cresce Vendas)","Somado na versao em producao","14/09/2026 13:31:10","14/09/2026 14:07:17","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"ECF_WS.ZIP","01/09/2026 16:12:45","Colocado Default = 1 para o tipo de Impressao | Removido a opção E-Mail | Removido uma Mensagem de Rastreio que havia ficado. Mostrava S ou N","Somado na versao em producao","14/09/2026 13:31:10","14/09/2026 14:07:17","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
