"Aplicativo","Status","VersaoProducaoListada","EnviadoProducaoEm","EnviadoProducaoPor","FonteProducao","AlteracoesSomadas","ProximosPassos","TotalAlteracoesBeta"
"APP_MIGRACAO_FIREBIRD4.ZIP","Beta sem tag de producao localizada","","","","","0","0","1"
"ATUALIZA.ZIP","Producao confirmada","03/09/2026 17:29:46","03/09/2026 17:29:44","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","2","0","2"
"ATUALIZAPAC.ZIP","Producao confirmada","17/08/2026 13:51:54","17/08/2026 13:51:57","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","1","0","1"
"DBIMP.ZIP","Beta sem tag de producao localizada","","","","","0","0","1"
"ECF_WS.ZIP","Producao confirmada","14/09/2026 13:31:10","14/09/2026 14:07:17","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","8","0","8"
"MENU.ZIP","Producao confirmada","10/09/2026 18:32:32","14/09/2026 08:58:19","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","8","0","8"
"PROMIS.ZIP","Producao confirmada","28/08/2026 19:52:43","03/09/2026 18:01:30","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","1","0","1"
"SCANTECH.ZIP","Producao confirmada","27/08/2026 16:55:18","03/09/2026 18:01:08","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","1","0","1"
"SERVIDOR.ZIP","Producao confirmada","10/09/2026 18:30:06","14/09/2026 08:58:23","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - historico beta SERVIDOR.ZIP","16","0","16"
"WDLLNFE.ZIP","Producao confirmada","10/09/2026 16:52:15","14/09/2026 08:58:27","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","3","0","3"
"WG_CCUSTO.ZIP","Producao confirmada","26/08/2026 10:27:41","03/09/2026 18:03:50","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","1","0","1"
"WG_CONTAS.ZIP","Producao confirmada","26/08/2026 10:28:34","03/09/2026 18:03:46","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","1","0","1"
"WGALERTAS.ZIP","Producao confirmada","26/08/2026 10:34:55","03/09/2026 18:03:42","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","2","0","2"
"WGCOMPRAS.ZIP","Producao confirmada","27/08/2026 17:22:22","03/09/2026 18:01:24","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","1","0","1"
"WGCRESCEVENDAS.ZIP","Beta sem tag de producao localizada","","","","","0","0","1"
"WGESTOQUE.ZIP","Beta sem tag de producao localizada","","","","","0","0","7"
"WGFECHACX.ZIP","Producao confirmada","27/08/2026 17:45:41","03/09/2026 18:01:12","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","1","0","1"
"WGFINANC.ZIP","Producao confirmada","27/08/2026 10:34:50","03/09/2026 18:03:31","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","6","0","6"
"WGHELPS.ZIP","Producao confirmada","26/08/2026 10:52:46","03/09/2026 18:03:39","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","1","0","1"
"WGLCTONOTA.ZIP","Producao confirmada","03/09/2026 18:03:14","03/09/2026 18:05:18","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - historico beta WGLCTONOTA.ZIP","20","2","22"
"WGLOGS.ZIP","Producao confirmada","26/08/2026 10:24:25","03/09/2026 18:03:57","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","2","0","2"
"WGNFE.ZIP","Producao confirmada","26/08/2026 10:16:52","03/09/2026 18:04:07","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","2","0","2"
"WGNOTIFICACOES.ZIP","Producao confirmada","31/08/2026 13:25:29","03/09/2026 18:00:43","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","3","0","3"
"WGPED.ZIP","Producao confirmada","26/08/2026 10:11:05","03/09/2026 18:04:15","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","1","0","1"
"WGPESSOA.ZIP","Producao confirmada","26/08/2026 10:13:59","03/09/2026 18:04:11","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","1","0","1"
"WGPRECOS.ZIP","Producao confirmada","27/08/2026 17:44:21","03/09/2026 18:01:17","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","2","0","2"
"WGPRODUTOS.ZIP","Producao confirmada","01/09/2026 15:44:49","03/09/2026 18:00:14","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","3","0","3"
"WGREPORT.ZIP","Producao confirmada","26/08/2026 10:18:17","03/09/2026 18:04:01","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","4","0","4"
