"Aplicativo","Pasta","BaixaAtualizacaoBeta","VersaoListada","VersaoMinimaBanco","CarregadoEm","CarregadoPor","StatusProducao","EnviadoProducaoEm","EnviadoProducaoPor","OQueMudou","Fonte"
"APP_MIGRACAO_FIREBIRD4.ZIP","OUTROS","0","10/09/2026 09:37:24","N/A","10/09/2026 09:37:19","JEFERSON DA ROSA","Nao confirmado","","","- Reestruturação da ferramenta visando alertar sobre erros no processo.","Portal Gerencial Weber - ultimas versoes beta"
"ATUALIZA.ZIP","VPN","0","03/09/2026 17:29:46","180","03/09/2026 17:29:29","FRANCISCO SCHWARZ MORAES","Producao confirmada","03/09/2026 17:29:44","FRANCISCO SCHWARZ MORAES","Adicionado validação para aceitar atualizar apenas Firebird 4 em diante.","Portal Gerencial Weber - ultimas versoes beta"
"ATUALIZAPAC.ZIP","COMUM","1","17/08/2026 13:51:54","N/A","17/08/2026 13:51:44","FRANCISCO SCHWARZ MORAES","Producao confirmada","17/08/2026 13:51:57","FRANCISCO SCHWARZ MORAES","Criado validação: Caso AtualizaPac rode na estação antes irá ver se o menu.exe esta em execução em algum usuário do PC para nos casos de TS ficar claro ao usuário o motivo de não prosseguir","Portal Gerencial Weber - ultimas versoes beta"
"AVISO_BACKUP.ZIP","ESTACAO","0","28/03/2024 09:58:11","N/A","28/03/2024 09:58:11","FRANCISCO SCHWARZ MORAES","Nao confirmado","","","Versao que estava no site dia 28/03/2024.","Portal Gerencial Weber - ultimas versoes beta"
"BANCOZERADO.ZIP","OUTROS","0","15/09/2026 15:24:23","292","15/09/2026 15:24:23","FRANCISCO SCHWARZ MORAES","Nao confirmado","","","Atulizado para updates da versão de produção","Portal Gerencial Weber - ultimas versoes beta"
"BUSCAPRE.ZIP","VPN","1","28/03/2024 09:24:34","180","28/03/2024 09:24:34","FRANCISCO SCHWARZ MORAES","Producao confirmada","09/07/2025 15:34:00","FRANCISCO SCHWARZ MORAES","Versao que estava no site dia 28/03/2024.","Portal Gerencial Weber - ultimas versoes beta"
"COLETOR1.ZIP","ESTACAO","1","28/03/2024 09:41:53","180","28/03/2024 09:41:53","FRANCISCO SCHWARZ MORAES","Nao confirmado","","","Versao que estava no site dia 28/03/2024.","Portal Gerencial Weber - ultimas versoes beta"
"CTE.ZIP","ESTACAO","1","17/10/2025 14:54:46","180","17/10/2025 14:54:47","WILSON WEBER","Nao confirmado","","","Criado opcao de Cancelamento por XML","Portal Gerencial Weber - ultimas versoes beta"
"DBIMP.ZIP","OUTROS","0","27/08/2026 14:09:16","N/A","27/08/2026 14:09:33","IGOR VILLELA","Nao confirmado","","","Ajuste para normalizar texto das colunas","Portal Gerencial Weber - ultimas versoes beta"
"ECF_WS.ZIP","PDV","1","14/09/2026 13:31:10","227","14/09/2026 13:31:21","WILSON WEBER","Producao confirmada","14/09/2026 14:07:17","FRANCISCO SCHWARZ MORAES","Ajustado para quando nao tiver um default de tipo de impressão, assumir 1 = Imprimir","Portal Gerencial Weber - ultimas versoes beta"
"GONDOLA.ZIP","ESTACAO","1","24/01/2026 07:28:00","180","24/01/2026 07:28:06","WILSON WEBER","Producao confirmada","04/05/2026 08:52:43","FRANCISCO SCHWARZ MORAES","Ajustado bug, quando marcado flag bebida gelada, nao estava considerando o Multi-preco.","Portal Gerencial Weber - ultimas versoes beta"
"INSTALA.ZIP","VPN","0","05/12/2024 16:26:19","180","05/12/2024 16:26:19","WILSON WEBER","Nao confirmado","","","Ajustado Bug ao Copiar arquivos para pacs","Portal Gerencial Weber - ultimas versoes beta"
"MENU.ZIP","ESTACAO","1","10/09/2026 18:32:32","228","10/09/2026 18:33:20","WILSON WEBER","Producao confirmada","14/09/2026 08:58:19","FRANCISCO SCHWARZ MORAES","Adicionado UUID na tabela EST_MENSAL_APONTA no Apontamento Automático Estoque Negativo","Portal Gerencial Weber - ultimas versoes beta"
"MENUDLL.ZIP","ESTACAO","1","11/07/2025 12:12:01","180","11/07/2025 12:12:02","WILSON WEBER","Producao confirmada","21/07/2025 09:07:47","FRANCISCO SCHWARZ MORAES","Retirado fbclient.dll do pacote","Portal Gerencial Weber - ultimas versoes beta"
"NETFRAMEWORK4_8.ZIP","OUTROS","0","01/07/2024 11:58:33","N/A","01/07/2024 11:58:37","FRANCISCO SCHWARZ MORAES","Nao confirmado","","","Versão do instalador Offline do Net Framework 4.8","Portal Gerencial Weber - ultimas versoes beta"
